ANNEE;NAISSANCES_TOTAL;NAISSANCES_PARENTS_MARIES;NAISSANCES_PARENTS_NON_MARIES;MARIAGES;DECES_DOMICILE_INTRA_MUROS;DECES_DOMICILE_EXTRA_MUROS;DECES_TOTAL;TRANSCRIPTIONS;PACS_ENREGISTREMENT;CHANGEMENT_PRENOM
2020;5576;1768;3808;309;1124;1575;2699;148;451;26
2019;5606;1874;3732;363;1069;1444;2513;167;310;31
2018;5703;2008;3695;391;1052;1448;2500;159;90;37
2017;5843;2072;3771;431;995;1425;2420;220;0;46
2016;5903;2133;3770;470;1102;1292;2394;192;;
2015;5993;2210;3783;433;1047;1383;2430;200;;
2014;6192;2369;3719;453;909;1315;2224;182;;
2013;6219;2339;3831;458;980;1284;2264;213;;
2012;6339;2506;3833;402;964;1355;2319;178;;
2011;6385;2676;3709;460;885;1303;2188;206;;
2010;6361;2817;3544;431;962;1261;2253;214;;
2009;6223;2764;3459;437;961;1279;2240;183;;
2008;6354;3015;3339;462;920;1273;2193;205;;
2007;6246;3063;3183;463;978;1240;2218;178;;
2006;6440;3341;3099;510;885;1188;2073;165;;
2005;6343;3381;2962;544;1041;1347;2388;127;;
2004;6243;3385;2858;579;992;1255;2247;130;;
2003;6311;3546;2765;562;1155;1270;2425;141;;
