CodINSEE5n;LibCommune;IRIS;LIBIRIS;LAB_IRIS;P11_FACT1524;P11_FACT2554;P11_FACT5564;P11_HACT1524;P11_HACT2554;P11_HACT5564;Geo Shape;geo_point_2d
49007;ANGERS;490070105;Voltaire;1;112;251;41;112;298;35;"{""type"": ""Polygon"", ""coordinates"": [[[-0.5586788979, 47.4685487326], [-0.5586529227, 47.4685378128], [-0.5559725031, 47.4675771917], [-0.5540150706, 47.4668566489], [-0.5531180987, 47.4665163969], [-0.5530589222, 47.4665857852], [-0.5499379827, 47.468916624], [-0.5497894985, 47.4690220747], [-0.5498624127, 47.4690594982], [-0.5540220847, 47.4710636025], [-0.554386542, 47.4712885561], [-0.5547751738, 47.4715172756], [-0.5551278672, 47.471665093], [-0.5553140479, 47.4717269868], [-0.5555268857, 47.4717700442], [-0.5559669947, 47.4718133659], [-0.5561510252, 47.471842885], [-0.5563011592, 47.4719022744], [-0.5565319836, 47.4720159661], [-0.5567406208, 47.472135742], [-0.5571346827, 47.4723859141], [-0.5582921091, 47.4731434876], [-0.55830603, 47.473152974], [-0.5585533056, 47.4729543832], [-0.5589318741, 47.4726517563], [-0.559224767, 47.4724797026], [-0.5609883501, 47.471581435], [-0.5618120567, 47.4712183198], [-0.5626495688, 47.4709629065], [-0.5629421833, 47.4708268948], [-0.5634568951, 47.4705137758], [-0.5627814261, 47.4702488116], [-0.5586980028, 47.4685562582], [-0.5586788979, 47.4685487326]]]}";47.4697776763,-0.556337798153
49007;ANGERS;490070201;ZA François Mitterand;3;25;20;3;30;35;1;"{""type"": ""Polygon"", ""coordinates"": [[[-0.5502136739, 47.4760357722], [-0.5501971335, 47.4760669135], [-0.5501801754, 47.4760917599], [-0.5485839406, 47.4777344477], [-0.545328808, 47.4800385794], [-0.5426078197, 47.4822434554], [-0.5424051874, 47.4824352433], [-0.5417336188, 47.4837153789], [-0.5394736181, 47.4868450572], [-0.5393834366, 47.4869487189], [-0.5397688549, 47.4870478319], [-0.5398080423, 47.4870574532], [-0.5399825743, 47.487103507], [-0.5427337233, 47.4879578317], [-0.5445280766, 47.4884952171], [-0.544895048, 47.4885363056], [-0.5450877015, 47.4885547681], [-0.5452881519, 47.488550466], [-0.5454815821, 47.4885004227], [-0.5456008958, 47.4884553395], [-0.5456944061, 47.4884020315], [-0.5457470869, 47.4883544722], [-0.5458151069, 47.4882776114], [-0.5465347379, 47.4874221976], [-0.5467915576, 47.4870251094], [-0.547157627, 47.4871328975], [-0.5473339693, 47.487186094], [-0.5482089478, 47.487430652], [-0.5495563578, 47.4857397067], [-0.5498963008, 47.4852535725], [-0.5506374844, 47.4840235245], [-0.5514414185, 47.4826780197], [-0.5521193443, 47.4815372934], [-0.5535400322, 47.4793727875], [-0.554628109, 47.4779050418], [-0.5546364977, 47.4778912693], [-0.5539725707, 47.4776006706], [-0.5507817295, 47.4762842622], [-0.5502136739, 47.4760357722]]]}";47.4827165276,-0.547176414606
49007;ANGERS;490070202;Besnardières;1;282;763;89;237;802;81;"{""type"": ""Polygon"", ""coordinates"": [[[-0.539987022, 47.4777304152], [-0.5396738938, 47.4779796241], [-0.5394606731, 47.4781519058], [-0.5382510639, 47.4791348098], [-0.53800513, 47.4793351151], [-0.5399528105, 47.4812105016], [-0.541317568, 47.4812257565], [-0.5427388344, 47.48181326], [-0.5424051874, 47.4824352433], [-0.5426078197, 47.4822434554], [-0.545328808, 47.4800385794], [-0.5485839406, 47.4777344477], [-0.5501801754, 47.4760917599], [-0.5501971335, 47.4760669135], [-0.5502136739, 47.4760357722], [-0.549374708, 47.4756702914], [-0.5487768291, 47.4754127924], [-0.548516588, 47.4752963781], [-0.5467526353, 47.4745499873], [-0.5462217358, 47.4750419345], [-0.5425769923, 47.4749537919], [-0.5421165565, 47.4752660621], [-0.5415176753, 47.4759564896], [-0.5408558339, 47.4767200138], [-0.5403385131, 47.4773178451], [-0.539987022, 47.4777304152]]]}";47.4779970887,-0.543864739793
49007;ANGERS;490070203;Saint-Michel;1;144;459;69;140;457;53;"{""type"": ""Polygon"", ""coordinates"": [[[-0.5351228324, 47.475281362], [-0.5353186057, 47.4753880497], [-0.5391811234, 47.4773818784], [-0.5395230049, 47.4775471917], [-0.5397094087, 47.4776325315], [-0.539987022, 47.4777304152], [-0.5403385131, 47.4773178451], [-0.5408558339, 47.4767200138], [-0.5415176753, 47.4759564896], [-0.5421165565, 47.4752660621], [-0.5425769923, 47.4749537919], [-0.5462217358, 47.4750419345], [-0.5467526353, 47.4745499873], [-0.5459727905, 47.4741934944], [-0.5457110563, 47.4740744164], [-0.5455372479, 47.4739986143], [-0.5454050774, 47.473949477], [-0.545244339, 47.4738903969], [-0.5450707702, 47.4738181911], [-0.5449039527, 47.4737475817], [-0.5446481837, 47.4736382316], [-0.5444152611, 47.4735326905], [-0.5436898299, 47.47309433], [-0.5430688261, 47.4727275756], [-0.542753355, 47.4725794906], [-0.5425818347, 47.4725180319], [-0.5412292671, 47.4721816439], [-0.541020886, 47.4722258296], [-0.5408473879, 47.4722950849], [-0.5406862427, 47.4723702716], [-0.540277035, 47.4725728475], [-0.5386056352, 47.4734436577], [-0.5364460798, 47.4745905873], [-0.535451747, 47.4751100791], [-0.5351228324, 47.475281362]]]}";47.4747276641,-0.540540286487
49007;ANGERS;490070204;Brisepotière;1;117;794;143;157;858;110;"{""type"": ""Polygon"", ""coordinates"": [[[-0.539987022, 47.4777304152], [-0.5397094087, 47.4776325315], [-0.5395230049, 47.4775471917], [-0.5391811234, 47.4773818784], [-0.5353186057, 47.4753880497], [-0.5351228324, 47.475281362], [-0.535100997, 47.4752928381], [-0.5348440402, 47.4754267927], [-0.5346540339, 47.475528077], [-0.534465175, 47.4756266228], [-0.53291904, 47.4764448825], [-0.5318596034, 47.4770059644], [-0.5289798831, 47.4785431323], [-0.5266475608, 47.4797771], [-0.5259859326, 47.4801242313], [-0.5274232556, 47.4808979504], [-0.5284027707, 47.481420617], [-0.5328565475, 47.483186783], [-0.5339262184, 47.4846500883], [-0.5332643989, 47.4855982778], [-0.5343018123, 47.4859488389], [-0.5347706351, 47.4860832806], [-0.5351441774, 47.4861638466], [-0.5358820165, 47.4862856089], [-0.5388763, 47.4868181632], [-0.5393834366, 47.4869487189], [-0.5394736181, 47.4868450572], [-0.5417336188, 47.4837153789], [-0.5424051874, 47.4824352433], [-0.5427388344, 47.48181326], [-0.541317568, 47.4812257565], [-0.5399528105, 47.4812105016], [-0.53800513, 47.4793351151], [-0.5382510639, 47.4791348098], [-0.5394606731, 47.4781519058], [-0.5396738938, 47.4779796241], [-0.539987022, 47.4777304152]]]}";47.4811338715,-0.535253509125
49007;ANGERS;490070405;Fulton;1;152;608;80;122;640;67;"{""type"": ""Polygon"", ""coordinates"": [[[-0.558757502, 47.464975314], [-0.5587610824, 47.464929249], [-0.5587630767, 47.464919276], [-0.559739924, 47.4647821671], [-0.5608897039, 47.4645081988], [-0.56147608, 47.4643541885], [-0.5616545813, 47.4643009671], [-0.5629486369, 47.463899112], [-0.563580352, 47.4636878346], [-0.5637118977, 47.4636279382], [-0.5637609107, 47.463605712], [-0.5639040911, 47.4635409535], [-0.5637530908, 47.4634284362], [-0.562632413, 47.4622030265], [-0.5616536315, 47.4610525596], [-0.5614003953, 47.4607413242], [-0.5615912016, 47.4605138149], [-0.5616397339, 47.4604843955], [-0.5616822439, 47.4604443472], [-0.5617787281, 47.4603368669], [-0.5618807828, 47.4601733483], [-0.5611935372, 47.4598690901], [-0.5606351285, 47.459623962], [-0.5602615329, 47.4594605824], [-0.5586441485, 47.4588351439], [-0.5573637526, 47.4583417535], [-0.5541173433, 47.4570929359], [-0.5540211256, 47.4570445129], [-0.554094072, 47.4574027207], [-0.5541943133, 47.4579718509], [-0.5542598917, 47.4583591185], [-0.5542735091, 47.45846413], [-0.5543121878, 47.4586864188], [-0.5547931177, 47.4613461599], [-0.5549333954, 47.4621177118], [-0.5550773319, 47.4628242731], [-0.555334451, 47.4640743366], [-0.5553747265, 47.4642605324], [-0.5554074872, 47.4644136174], [-0.5586119298, 47.4649842714], [-0.558757502, 47.464975314]]]}";47.4615932121,-0.558269052508
49007;ANGERS;490070407;Vauban;1;93;331;42;95;424;47;"{""type"": ""Polygon"", ""coordinates"": [[[-0.5639040911, 47.4635409535], [-0.5639440012, 47.4635217092], [-0.5655299531, 47.4627549513], [-0.5664130149, 47.4623079786], [-0.5664769715, 47.4622906997], [-0.5665616502, 47.462305225], [-0.5667335087, 47.4620927053], [-0.5667519606, 47.4620705134], [-0.5682918562, 47.460036383], [-0.5692481356, 47.4586761312], [-0.5698615623, 47.4578931804], [-0.5698213174, 47.4578475581], [-0.5698078246, 47.4578245435], [-0.5698135069, 47.4577703033], [-0.5701015892, 47.4564125192], [-0.5691331422, 47.4555573537], [-0.5677876192, 47.4544461189], [-0.5676684422, 47.4543722791], [-0.567513782, 47.4542643845], [-0.5654329182, 47.4530423084], [-0.5652690702, 47.4531752857], [-0.5636436151, 47.4545217661], [-0.5603502747, 47.4567203457], [-0.560128432, 47.456840672], [-0.559602766, 47.4572271053], [-0.5593952248, 47.4574226844], [-0.5591468863, 47.4577240378], [-0.5590013508, 47.4579330377], [-0.5589013949, 47.4581082039], [-0.5586441485, 47.4588351439], [-0.5602615329, 47.4594605824], [-0.5606351285, 47.459623962], [-0.5611935372, 47.4598690901], [-0.5618807828, 47.4601733483], [-0.5617787281, 47.4603368669], [-0.5616822439, 47.4604443472], [-0.5616397339, 47.4604843955], [-0.5615912016, 47.4605138149], [-0.5614003953, 47.4607413242], [-0.5616536315, 47.4610525596], [-0.562632413, 47.4622030265], [-0.5637530908, 47.4634284362], [-0.5639040911, 47.4635409535]]]}";47.4581690206,-0.564812136939
49007;ANGERS;490070504;Dauversière;1;111;344;26;102;367;42;"{""type"": ""Polygon"", ""coordinates"": [[[-0.5775237839, 47.4736937856], [-0.5773752344, 47.4737181759], [-0.5772821526, 47.4737174326], [-0.5772075188, 47.4737143201], [-0.5771257123, 47.4737033181], [-0.5769141012, 47.473738657], [-0.5766821706, 47.4737881364], [-0.5766287539, 47.4738041955], [-0.576616866, 47.4738649342], [-0.577199958, 47.476562913], [-0.5790985073, 47.4788564029], [-0.5794497572, 47.4789411174], [-0.5797540414, 47.4790191656], [-0.5820830138, 47.479658478], [-0.5816218323, 47.4809296974], [-0.5815816691, 47.4810048229], [-0.5816490769, 47.4810189685], [-0.5841141924, 47.4815062742], [-0.5862354258, 47.4820978383], [-0.5865659658, 47.4824084445], [-0.58677863, 47.48250732], [-0.587325095, 47.4826085237], [-0.5876037849, 47.4826413851], [-0.5888639822, 47.4827611311], [-0.5919002944, 47.48302251], [-0.5925480067, 47.4830674005], [-0.5923569143, 47.4829534519], [-0.5915526395, 47.4811904893], [-0.5914405458, 47.4790655497], [-0.5920441445, 47.4779791187], [-0.5932790083, 47.4763577654], [-0.5934627481, 47.4761844875], [-0.5937959807, 47.4758425925], [-0.5939028576, 47.475732061], [-0.593390256, 47.4755009864], [-0.5873100598, 47.4750109249], [-0.5840574813, 47.4749462319], [-0.5829241282, 47.4750306882], [-0.5822760312, 47.475077671], [-0.5815334021, 47.4751221527], [-0.5809668758, 47.4751368817], [-0.58058037, 47.4751406633], [-0.5803939004, 47.4751346856], [-0.5802029704, 47.4751216361], [-0.58002657, 47.4751072382], [-0.5798728378, 47.475093945], [-0.5797765593, 47.4750851921], [-0.5793704678, 47.4750346052], [-0.5789744491, 47.4749557732], [-0.5785062744, 47.4748314004], [-0.5782375862, 47.4747486509], [-0.5780223127, 47.4746696652], [-0.5778929471, 47.4746033568], [-0.57777908, 47.47451044], [-0.57768294, 47.4744043629], [-0.5775896367, 47.4742810777], [-0.5775651117, 47.4742124472], [-0.5775557742, 47.474172185], [-0.5774893997, 47.4738155893], [-0.5775237839, 47.4736937856]]]}";47.4782195249,-0.585726497399
49007;ANGERS;490070603;Gouronnières;1;143;479;64;145;413;86;"{""type"": ""Polygon"", ""coordinates"": [[[-0.5757885617, 47.481674928], [-0.57558188, 47.4816254094], [-0.5726446551, 47.4802774584], [-0.5701673245, 47.4788675738], [-0.569710038, 47.4785878441], [-0.5687751698, 47.4780028704], [-0.5680285722, 47.4773508443], [-0.5678130065, 47.4770880267], [-0.5676895071, 47.4769899893], [-0.5675787852, 47.4769041754], [-0.567430505, 47.476813205], [-0.5673011473, 47.4767468848], [-0.5666447193, 47.4764101711], [-0.5664230491, 47.4763746127], [-0.5660713661, 47.4770404797], [-0.5658607497, 47.4774100711], [-0.5656009618, 47.4778595629], [-0.565403742, 47.4780314045], [-0.5649398531, 47.4783501811], [-0.5647556104, 47.4784774708], [-0.5650313277, 47.4787654838], [-0.5650806216, 47.47882705], [-0.5655582566, 47.4794323673], [-0.5656901648, 47.4796166537], [-0.5663378639, 47.4804798755], [-0.5663961989, 47.4805573838], [-0.5664720107, 47.4806577849], [-0.566928505, 47.4811249774], [-0.5673853359, 47.4815173677], [-0.5677984795, 47.4818525247], [-0.5691154269, 47.4828438969], [-0.5695386102, 47.4831499056], [-0.5698404471, 47.4833704266], [-0.5706877355, 47.4839959257], [-0.5707997978, 47.4841015198], [-0.5711424825, 47.4844757718], [-0.5712515275, 47.4845958754], [-0.5715103003, 47.4849078224], [-0.5718283903, 47.485291838], [-0.5722534767, 47.4858248533], [-0.5725090021, 47.4861477109], [-0.5726149746, 47.486281424], [-0.572890699, 47.4866279903], [-0.5735219129, 47.4874204956], [-0.5740674519, 47.487209113], [-0.5740944702, 47.4871956682], [-0.5743089282, 47.4870827553], [-0.5746927407, 47.4868384894], [-0.5747903882, 47.4867480852], [-0.5749042598, 47.4866418643], [-0.5751048725, 47.4864014203], [-0.575607474, 47.4855479707], [-0.5758088372, 47.4851398995], [-0.5758837074, 47.4849474696], [-0.575902476, 47.4848703004], [-0.5759345223, 47.4847332514], [-0.5759782628, 47.4843138019], [-0.5759959768, 47.4840816775], [-0.5759960404, 47.4837644917], [-0.5759614813, 47.4832077783], [-0.5758003037, 47.4817511601], [-0.5757885617, 47.481674928]]]}";47.4818182991,-0.571030417896
49007;ANGERS;490070707;Beauséjour;2;62;174;14;355;463;23;"{""type"": ""Polygon"", ""coordinates"": [[[-0.5597581652, 47.50658277], [-0.5597853664, 47.5065918503], [-0.5600453108, 47.5078994696], [-0.5607149226, 47.5103659564], [-0.5613058058, 47.5120689356], [-0.5619984303, 47.5132822221], [-0.56300549, 47.5146030255], [-0.5632909856, 47.5145960938], [-0.5642820836, 47.5155569471], [-0.5664153379, 47.5154348805], [-0.5681167007, 47.5143222104], [-0.5693736874, 47.5140449117], [-0.5693729583, 47.5138746311], [-0.5694633767, 47.5129978179], [-0.5692868432, 47.5119075211], [-0.5687292082, 47.5108658461], [-0.5677220596, 47.5090864429], [-0.5668096491, 47.5062742003], [-0.5699373257, 47.5047591655], [-0.5733965167, 47.5037501869], [-0.5743770081, 47.5014493694], [-0.5748007365, 47.4992944881], [-0.5747223777, 47.4971874569], [-0.5760013345, 47.4958533247], [-0.577571825, 47.4927567025], [-0.5776525312, 47.4926713224], [-0.5768508084, 47.4916570023], [-0.5767682076, 47.4915550139], [-0.576182054, 47.4908215135], [-0.5759643459, 47.4905479626], [-0.5735844862, 47.4875014749], [-0.5735219129, 47.4874204956], [-0.572192728, 47.4879208441], [-0.5704142796, 47.4885620093], [-0.5696771772, 47.4888116869], [-0.568084248, 47.4893849509], [-0.567947944, 47.4894341826], [-0.5661574464, 47.4900954723], [-0.5643503162, 47.490767154], [-0.5639515169, 47.4909073165], [-0.5638530899, 47.490926549], [-0.5631575689, 47.4909631564], [-0.5628822143, 47.4909607705], [-0.5627395939, 47.4909552232], [-0.5627204513, 47.491146838], [-0.5629383723, 47.4924224064], [-0.563458679, 47.493866232], [-0.5638750016, 47.4944076531], [-0.5642938932, 47.4950273882], [-0.5644042215, 47.4952664011], [-0.5646596272, 47.4970436201], [-0.5647611733, 47.4982677805], [-0.5645542857, 47.5017865149], [-0.5644454158, 47.5032252624], [-0.5639343257, 47.5036572026], [-0.5634269088, 47.5040845224], [-0.5625048302, 47.5047948481], [-0.5604245415, 47.5062452211], [-0.5603712671, 47.5062639703], [-0.5597581652, 47.50658277]]]}";47.500353097,-0.568346022905
